web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,image
"1778257048-11","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","82","Garantía: 1 AÑO / RECERTIFICADO","LCD22PZ","Monitor LENOVO 22 ThinkVision S22e-19 Fhd Panel IPS Hdmi Vga Comptible Con Vesa Rotación 90º","-23%","","LENOVO","23","107","USD","Cód.",",00","","Medida","Comprar","22""","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_37975.jpg"
"1778257048-12","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","89","Garantía: 1 AÑO / RECERTIFICADO","LCD22ASUSVK228","Monitor ASUS Vk228h 22 60Hz 5ms Full Hd 1080p Hdmi D-Sub DVI-D Camara Compatible Con Vesa 100x100","-7%","NEGRO","ASUS","7","96","USD","Cód.",",00","","Medida","Comprar","22""","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_39731.jpg"
"1778257048-13","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","99","Garantía: 1 AÑO / NUEVO","TR0004","Monitor Gamer TEROS 22 TE-2128S 100Hz 1Ms Fhd IPS Hdmi Vga AMD Freesync","-6%","","TEROS","6","105","USD","Cód.",",00","","Medida","Comprar","22""","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_37850.jpg"
"1778257048-14","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","104","Garantía: 3 AÑOS / NUEVO","20MK400HB","Monitor LG 20 20MK400H-B Led Hd 5ms Hdmi Vga Comaptible Vesa 100x100","-5%","NEGRO","LG","5","110","USD","Cód.",",00","","Medida","Comprar","20""","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_12103.jpg"
"1778257048-15","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","105","Garantía: 1 AÑO / NUEVO","BFXGR3S","Soporte THERMALTAKE GR300 Negro De Pared Para Monitor o Tv Desde 32"" Hasta 50"" y Soporta Hasta 35kg","","NEGRO","THERMALTAKE","","0","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40139.jpg"
"1778257048-16","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","105","Garantía: 1 AÑO / NUEVO","BFXSP3W","Soporte THERMALTAKE GR300 Blanco De Pared Para Monitor o Tv Desde 32"" Hasta 50"" y Soporta Hasta 35kg","","BLANCO","THERMALTAKE","","0","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40144.jpg"
"1778257048-17","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","109","Garantía: 6 MESES / NUEVO","AUD402","Audifono Auricular JBL TUNE 770CN Bluetooth Inalambricon Con Cancelación De Ruido","","BLANCO","JBL","","0","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40307.jpg"
"1778257048-18","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","110","Garantía: 3 AÑOS / NUEVO","19M38LB","Monitor Led LG 19M38H-B 19'' HD Panel VA Antiparpadeo VGA Modo Lectura Vesa 75x75","","","LG","","99","USD","Cód.",",00","Consultar","Medida","","19""","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado",",00","","","","https://www.infinit.com.uy/imgs/productos/productos3_35172.jpg"
"1778257048-19","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","110","Garantía: 3 AÑOS / NUEVO","020FLS22F320","Monitor Gamer SAMSUNG 22 Essential S3 LS22D300GANXZA Panel IPS FHD 120hz 1080p Hdmi Vga Compatible Vesa 100x100","-4%","NEGRO","SAMSUNG","4","115","USD","Cód.","","","Medida","Comprar","22""","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_40554.jpg"
"1778257048-20","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","117","Garantía: 3 AÑOS / NUEVO","22MP410","Monitor Led LG 22 22MP410-B Full HD 1080p Panel Va 75Hz Amd FreeSync Vga Hdmi Modo Lectura Vesa 75x75","-11%","NEGRO","LG","11","131","USD","Cód.",",00","Consultar","Medida","","22""","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado",",00","","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_23764.jpg"
"1778257048-21","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","117","Garantía: FUNCIONAL / NUEVO","PAN19","Pantalla Para Proyector BRATECK 108"" 16:9 Peba108 Blanca De Colgar Retractil Carcaza De Aluminio","-8%","BLANCO","BRATECK","8","127","USD","Cód.",",00","","Medida","Comprar","108""","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_33502.jpg"
