web_scraper_order,web_scraper_start_url,price,description,sku,name,data,brand,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image
"1778257121-25","https://www.infinit.com.uy/catalogo/conectividad/infinit/","60","Garantía: 1 AÑO / NUEVO","BFXDLM151","Router Wifi D-LINK M15 EAGLE PRO AI Mesh Ax1500 Gigabit Dual Band MU-MIMO Asistente Google y Alexa 1 Pack","","D-LINK","",",00","0","USD","Cód.","Comprar","","BLANCO","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38919.jpg"
"1778257121-26","https://www.infinit.com.uy/catalogo/conectividad/infinit/","64","Garantía: 1 AÑO / NUEVO","TDE32P","Access Point Deco TPLINK E3 Sistema Wifi Mesh Ac1200 Dual Band Pack x2","-12%","TP-LINK","12",",00","73","USD","Cód.","Comprar","","BLANCO","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_21304.jpg"
"1778257121-27","https://www.infinit.com.uy/catalogo/conectividad/infinit/","64","Garantía: 1 AÑO / NUEVO","BFXDL3260","Router Wifi D-LINK DIR-X3260 Ax3200 Gigabit 4 Antenas Dual Band MU-MIMO","","D-LINK","",",00","0","USD","Cód.","Comprar","","NEGRO","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38903.jpg"
"1778257121-28","https://www.infinit.com.uy/catalogo/conectividad/infinit/","66","Garantía: 1 AÑO / NUEVO","BFXDLR18","Router Smart Wifi D-LINK R18 IA Ax1800 Gigabit 4 Antenas Dual Band MU-MIMO Asistente Google y Alexa","","D-LINK","",",00","0","USD","Cód.","Comprar","","BLANCO","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38912.jpg"
"1778257121-29","https://www.infinit.com.uy/catalogo/conectividad/infinit/","76","1 Año de Garantía","PRV-SWI93","Switch HIKVISION PRO DS-3E0505HP-E PoE 5 Puertos Gigabit 60w Carcasa Metal","","HIKVISION","",",30","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37826.jpg"
"1778257121-30","https://www.infinit.com.uy/catalogo/conectividad/infinit/","76","Carcasa metalica.","PRV-SWI83","Switch HIKVISION DS-3E0508P-O PoE 8 Puertos Gigabit 60W Carcasa Metal","","HIKVISION","",",30","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37825.jpg"
"1778257121-31","https://www.infinit.com.uy/catalogo/conectividad/infinit/","87","Garantía: 1 AÑO / NUEVO","BFXDLX486","Router Wifi D-LINK DIR-X4860 Ax4800 Gigabit 6 Antenas Dual Band MU-MIMO","-2%","D-LINK","2",",00","89","USD","Cód.","Comprar","","NEGRO","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_12367.jpg"
"1778257121-32","https://www.infinit.com.uy/catalogo/conectividad/infinit/","87","1 Año de Garantía","PRV-SWI86","Switch HIKVISION DS-3E1510P-EI/M PoE 10 Puertos Gigabit 60w Administrable Metal","","HIKVISION","",",40","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37843.jpg"
"1778257121-33","https://www.infinit.com.uy/catalogo/conectividad/infinit/","89","Garantía: 1 AÑO / NUEVO","SG1016D","Switch Tplink Tl-sg1016d 16 Puertos Lan Gigabit Rackeable","","TP-LINK","",",00","0","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_14357.jpg"
"1778257121-34","https://www.infinit.com.uy/catalogo/conectividad/infinit/","99","Garantía: 2 AÑOS / NUEVO","ARCHERAIRE5","Repetidor Extensor Wifi6 Tplink Archer Air 2402mbps","","TP-LINK","",",00","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_39736.jpg"
