web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778256957-101","https://www.infinit.com.uy/catalogo/pc/infinit/","846","Garantía: 3 AÑOS / NUEVO","1OFMON22","Equipo PC INTEL Core i3 13100 13va Gen - 16Gb - Ssd 512Gb - Wifi/Bt - Monitor 22"" - Windows 11 Pro - Accesorios","","","INTEL","","829","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38323.jpg"
"1778256957-102","https://www.infinit.com.uy/catalogo/pc/infinit/","886","Garantía: 3 AÑOS / NUEVO","4OF","Equipo PC INTEL Core i5 12400 12va - 16Gb - Ssd 512Gb - Wifi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","","NEGRO","INTEL","","868","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_14118.jpg"
"1778256957-103","https://www.infinit.com.uy/catalogo/pc/infinit/","892","Garantía: 1 AÑO / NUEVO","NOT3087","Notebook HP 255 G10 AMD Ryzen 7 7730U - 16Gb - 512Gb - Pantalla IPS 15.6"" Full HD - FreeDOS","-3%","GRIS OSCURO","HP","3","923","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_38938.jpg"
"1778256957-104","https://www.infinit.com.uy/catalogo/pc/infinit/","898","Garantía: 1 AÑO / NUEVO","M1502YABQ701","Notebook ASUS M1502YA AMD Ryzen7 7730U - 16Gb - 512Gb - Pantalla 15.6 Full HD - Free DOS","","AZUL OSCURO","ASUS","","0","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40785.jpg"
"1778256957-105","https://www.infinit.com.uy/catalogo/pc/infinit/","900","Garantía: 3 AÑOS / NUEVO","NG027","PC Gamer AMD Ryzen 5 5600G (6 Núcleos) - RAM 16Gb - Ssd 1Tb - Wifi/Bt - Windows","","","AMD","","895","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_24030.jpg"
"1778256957-106","https://www.infinit.com.uy/catalogo/pc/infinit/","918","Garantía: 1 AÑO / REF. DE FABRICA A NUEVO","KITPPH11UII0388908","Notebook TOSHIBA Dynabook X40-J Intel Core i5 1135G7 (4 Núcleos) - 32Gb - 1Tb - Pantalla 14"" Full HD - W11P","","GRIS OSCURO","TOSHIBA","","910","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39296.jpg"
"1778256957-107","https://www.infinit.com.uy/catalogo/pc/infinit/","922","Garantía: 3 AÑOS / NUEVO","NG023","PC Gamer AMD Ryzen 5 5600GT RAM 16Gb Ddr4 Ssd Nvme 1Tb Video Rx Radeon 2Gb Hdmi Wifi Bt Windows 11 64bit","","","AMD","","900","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_29648.jpg"
"1778256957-108","https://www.infinit.com.uy/catalogo/pc/infinit/","934","Garantía: 1 AÑO / NUEVO","KITNOT3282","Notebook LENOVO Ideapad 1 15IAU7 Intel Core i5 1335U (10 Nucleos) - 16Gb - 512Gb - Pantalla 15,6 Tactil - W11","-3%","AZUL OSCURO","LENOVO","3","961","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40947.jpg"
"1778256957-109","https://www.infinit.com.uy/catalogo/pc/infinit/","945","Garantía: 1 AÑO / RECERTIFICADO","NBI7HPDRAGO","UltraBook Premium HP Dragon Fly G3 Intel Core i7 1265u (10 Núcleos) - 32Gb - 512Gb - Pantalla 13.5 Tactil - W11P","","AZUL OSCURO","HP","","0","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40538.jpg"
"1778256957-110","https://www.infinit.com.uy/catalogo/pc/infinit/","955","Garantía: 3 AÑOS / NUEVO","NG06","PC Gamer AMD Ryzen 3 3200G RAM 16Gb Ssd Nvme 1Tb Video Vega 8 Wifi Bt Monitor 22 100Hz Teclado Mouse Auricular W10","","","AMD","","951","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35595.jpg"
