web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778255771-187","https://www.infinit.com.uy/catalogo/gamer/infinit/","316","Garantía: 1 AÑO / NUEVO","ECESTAR140B","Escritorio Gamer COUGAR E-Star 140 Ajustes de altura personalizados y organizador de cables","-13%","NEGRO","13","COUGAR","363",",00","USD","Cód.","","","Color","Comprar","Destacado","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_35039.jpg"
"1778255771-188","https://www.infinit.com.uy/catalogo/gamer/infinit/","320","Garantía: 1 AÑO / NUEVO","165006","Soporte De Monitor NEXT LEVEL RACING NLR-A011","","NEGRO","","NEXT LEVEL RACING","320",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_32384.jpg"
"1778255771-189","https://www.infinit.com.uy/catalogo/gamer/infinit/","320","Garantía: 3 AÑOS / NUEVO","27GS60F","Monitor Gamer LG 27 27GS60F Ultra Gear 180Hz 1Ms FHd 1080p Ips Amd FreeSync Hdmi Dp","","NEGRO","","LG","303",",00","USD","Cód.","27""","Consultar","Medida","","","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","Color","","","https://www.infinit.com.uy/imgs/productos/productos3_33440.jpg"
"1778255771-190","https://www.infinit.com.uy/catalogo/gamer/infinit/","329","Garantía: 1 AÑO / NUEVO","1Q1H3MEJFGRB","Silla Gamer COUGAR EXPLORE JET GREY F Soporta Hasta 120Kg Regulable Reclinable 155 Grados Almohadones","","GRIS","","COUGAR","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40560.jpg"
"1778255771-191","https://www.infinit.com.uy/catalogo/gamer/infinit/","331","Garantía: 1 AÑO / NUEVO","MPUZ34W180","Monitor Gamer PERSEO Hermes 34 MPUC.34PU.180H Curvo 1ms 180Hz 2k Wqhd Hdmi Dp Vesa 100x100","","NEGRO","","PERSEO","0",",00","USD","Cód.","34""","","Medida","Comprar","","Nuevo","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41497.jpg"
"1778255771-192","https://www.infinit.com.uy/catalogo/gamer/infinit/","334","Garantía: 3 AÑOS / NUEVO","GB0505","Monitor Gamer GIGABYTE 32 GS32QCA Curvo 180Hz 1Ms 2k QHd 1440p Panel VA Amd FreeSync 2x Hdmi Dp Compatible Vesa 100x100","-4%","","4","GIGABYTE","349",",00","USD","Cód.","32""","","Medida","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40764.jpg"
"1778255771-193","https://www.infinit.com.uy/catalogo/gamer/infinit/","338","Garantía: 3 AÑOS / NUEVO","MSLS27CG552","Monitor Gamer Curvo SAMSUNG Odyssey 27 G5 165Hz 1Ms QHd 1440p Panel VA FreeSync Hdmi Dp Compatible Vesa 75x75","-14%","NEGRO","14","SAMSUNG","393",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_35288.jpg"
"1778255771-194","https://www.infinit.com.uy/catalogo/gamer/infinit/","346","Garantía: 2 AÑOS / NUEVO","BFXEGC4KX","Capturadora Video Externa ELGATO Game X 10GBH9901 4k144Fps Hdmi","","","","ELGATO","0",",00","USD","Cód.","","","","Comprar","","Nuevo","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41133.jpg"
"1778255771-195","https://www.infinit.com.uy/catalogo/gamer/infinit/","355","Tasa de refresco de 170 Hz","PRV-MON348","Monitor Gamer Asus 32 TUF Fast QHD 2K 170Hz 1Ms Parlantes VESA 100x100","","","","ASUS","0",",80","USD","Cód.","","","","Comprar","","Nuevo","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41191.jpg"
"1778255771-196","https://www.infinit.com.uy/catalogo/gamer/infinit/","356","Garantía: 2 AÑOS / NUEVO","192135","Auriculares Logitech G735 Gamer Inalambrico Bluetooth Rgb Pc Mac","-9%","BLANCO","9","LOGITECH G","392",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_27298.jpg"
"1778255771-197","https://www.infinit.com.uy/catalogo/gamer/infinit/","357","Garantía: 15 DÍAS / NUEVO","MECRMOSSAW","Escritorio Electrico Gamer COUGAR ROYAL MOSSA 120  Mesa Regulable En Altura Blanco","-3%","BLANCO","3","COUGAR","367",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_29190.jpg"
"1778255771-198","https://www.infinit.com.uy/catalogo/gamer/infinit/","366","Garantía: 1 AÑO / NUEVO","350009","Silla Gamer COOLER MASTER Caliber R2C Hasta 150kg Regulable Ergonomica Reclinable 180 Grados","","NEGRO","","COOLER MASTER","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38201.jpg"
"1778255771-199","https://www.infinit.com.uy/catalogo/gamer/infinit/","375","Garantía: 1 AÑO / NUEVO","165000","Simulador Next Level Racing NLR-S021 Gt Lite Cockpit","-3%","NEGRO","3","NEXT LEVEL RACING","388",",00","USD","Cód.","","Consultar","Color","","","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","","","%","https://www.infinit.com.uy/imgs/productos/productos3_32380.jpg"
"1778255771-200","https://www.infinit.com.uy/catalogo/gamer/infinit/","379","Garantía: 3 AÑOS / NUEVO","MSLS32CG552","Monitor Gamer SAMSUNG 32 Odyssey G5 Ls32cg552 165Hz 1Ms 2K Qhd Panel VA Curvo 1000R AMD FreeSync Compatible Vesa 75x75","-13%","NEGRO","13","SAMSUNG","434",",00","USD","Cód.","32""","","Medida","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Color","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_32296.jpg"
"1778255771-201","https://www.infinit.com.uy/catalogo/gamer/infinit/","389","Garantía: 2 AÑOS / NUEVO","192137","Volante y Pedalera LOGITECH G29 Con Levas Para Pc Sony Ps3 Ps4 y Ps5","","NEGRO","","LOGITECH G","389",",00","USD","Cód.","","Consultar","Color","","","","Antes","USD",",00","Precio","IVA inc.","Agotado","Agotado","","","","https://www.infinit.com.uy/imgs/productos/productos3_7332.jpg"
