web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image
"1778257012-72","https://www.infinit.com.uy/catalogo/perifericos/infinit/","179","Garantía: 1 AÑO / NUEVO","192141","Camara Web Logitech Brio 500 Ultra Wide 4mp 1080p Usb-c Videoconferencia","","BLANCO","","LOGITECH","179","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_25785.jpg"
"1778257012-73","https://www.infinit.com.uy/catalogo/perifericos/infinit/","182","Garantía: 1 AÑO / NUEVO","192140","Camara Web Logitech Brio 500 Ultra Wide 4mp 1080p Usb-c Videoconferencia","","ROSA","","LOGITECH","179","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_25780.jpg"
"1778257012-74","https://www.infinit.com.uy/catalogo/perifericos/infinit/","189","Garantía: 1 AÑO / NUEVO","PAR282","Parlante EDIFIER R1700BTS 2.0 66w Rms Bluetooth 4.0 Control Remoto Madera Rca Optico","-3%","MARRON","3","EDIFIER","194","USD","Cód.","","Consultar","","","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","Agotado","","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_20534.jpg"
"1778257012-75","https://www.infinit.com.uy/catalogo/perifericos/infinit/","231","Garantía: 2 AÑOS / NUEVO","BFXLGFC","Webcam ELGATO Facecam Mk2 FullHD 1080p 60Fps","-5%","NEGRO","5","ELGATO","244","USD","Cód.","","Consultar","","","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","Agotado","","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_35704.jpg"
"1778257012-76","https://www.infinit.com.uy/catalogo/perifericos/infinit/","343","Garantía: 2 AÑOS / NUEVO","BFXELFC","Webcam ELGATO Facecam 4k 2160p 60Fps","-1%","","1","ELGATO","345","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_41119.jpg"
"1778257012-77","https://www.infinit.com.uy/catalogo/perifericos/infinit/","390","Garantía: 1 AÑO / NUEVO","PAR146","Parlante EDIFIER S350db 2.1ch 150w Rms Bluetooth 4.0 Aptx Subwoofer Control Remoto Rca Optico","-6%","MARRON","6","EDIFIER","414","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_11401.jpg"
"1778257012-78","https://www.infinit.com.uy/catalogo/perifericos/infinit/","404","2 Años De Garantía / Nuevo","195833","Parlante Logitech VC Para Rally Videoconferencia","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_16155.jpg"
"1778257012-79","https://www.infinit.com.uy/catalogo/perifericos/infinit/","514","Garantía: 1 AÑO / NUEVO","PAR301","Parlantes EDIFIER S2000MKIII 130w Rms Bluetooth 5.0 Optico HiFi 2.0 Control Remoto Madera","-9%","MARRON","9","EDIFIER","567","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_14758.jpg"
"1778257012-80","https://www.infinit.com.uy/catalogo/perifericos/infinit/","819","Garantía: 3 AÑOS / NUEVO","195751","Camara Web Logitech Ptz Pro 2 Full Hd 1080p Videoconferencia Control Remoto","-2%","GRIS","2","LOGITECH","832","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_15852.jpg"
"1778257012-81","https://www.infinit.com.uy/catalogo/perifericos/infinit/","1.316","Garantía: 2 AÑOS / NUEVO","195716","Camara Web LOGITECH Meetup Ultra Hd 4k Motorizada Bluetooth Mando Distancia Videoconferencia","-2%","","2","LOGITECH","1.337","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_12239.jpg"
"1778257012-82","https://www.infinit.com.uy/catalogo/perifericos/infinit/","1.857","Garantía: 2 AÑOS / NUEVO","195684","Sistema De Videoconferencia Para Sala LOGITECH Group Robotizado 1080p Control Remoto Consola Panoramita 260 Grados","-2%","","2","LOGITECH","1.887","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","NEGRO","%","https://www.infinit.com.uy/imgs/productos/productos3_12233.jpg"
